name,usage_count,file,path,description,line_number
filter,269,sensitivity_logging.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_logging.py,No description available,61
main,242,PyScanner.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\PyScanner.py,"Main function to initialize log, perform scan, and log results.",94
main,242,ID_Replace_Python_Final.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python_Final.py,"Main function to initialize log, perform search/replace, and log results.",114
main,242,Table.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Configuration_management\Table.py,No description available,89
main,242,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,760
main,242,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,831
main,242,config_modules.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Configuration_management\config_modules.py,No description available,117
main,242,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,"Main function to initialize log, perform search/replace, and log results.",108
start,233,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,Start the monitoring thread.,256
index,83,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,Render the selection interface,357
__init__,54,sensitivity_logging.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_logging.py,No description available,9
__init__,54,sensitivity_integration.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_integration.py,No description available,23
__init__,54,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,No description available,33
__init__,54,calculations_sensitivity_adapter.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\calculations_sensitivity_adapter.py,No description available,17
__init__,54,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,No description available,33
__init__,54,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,No description available,22
__init__,54,sensitivity_logging.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_logging.py,No description available,57
__init__,54,Sensitivity_File_Manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sensitivity_File_Manager.py,No description available,9
__init__,54,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,Initialize the monitor for a specific version.,208
generate,34,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,Generator function for the SSE stream.,422
remove_existing_file,21,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,63
remove_existing_file,21,economic_summary.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Data_processors_and_transformers\economic_summary.py,Remove a file if it exists.,16
remove_existing_file,21,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,63
pad_or_trim,15,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,171
pad_or_trim,15,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,171
run_script,14,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,No description available,135
run_script,14,Calculations_and_Sensitivity.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations_and_Sensitivity.py,No description available,105
store_calculation_result,12,Sensitivity_File_Manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sensitivity_File_Manager.py,Stores calculation results in JSON format with metadata.,111
store_calculation_result,12,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Stores sensitivity calculation results in a standardized format.,316
autopct_filter,12,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,Show percentage only if >= 3%.,761
is_excluded_file,12,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,Check if a file should be excluded based on its name.,42
