Component,Type,Props,State,Hooks,Context Usage,Renders
App,functional,,"activeTab, activeSubTab, selectedProperties, S, error","useState, useState, useState, useState, useState, useCallback, useCallback, useCallback",,"ErrorBoundary, VersionStateProvider, Router, VersionControl, ThemeSelector, TabNavigation, TabContent, ModelZone"
Card,functional,"children, className = '', ...props",,,,
CustomizableImage,functional,"src, alt, width, height, style, onLoad",imageState,useState,,
CustomizableTable,functional,,,,,
EditableHierarchicalList,functional,,"items, draggedId, editingId, editText","useState, useState, useState, useState",,"GripVertical, Check, X"
Tooltip,functional,"content, children","isVisible, history, historyIndex, errors, protectedTabs, sequentialOperations, tabConfigs, frozenItems, itemExpressions, scalingGroups, selectedGroup, isExporting","useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useCallback, useCallback, useCallback, useRef, useRef, useRef, useRef, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback",,"AnimatePresence, DndProvider, Tab, LockClosedIcon, LockOpenIcon, TrashIcon, ArrowPathIcon, PlusIcon, DraggableScalingItem, ScalingSummary"
TooltipWithMore,functional,"initialContent, extendedContent",showMore,useState,,"ChevronDownIcon, TooltipProvider, BuildingIcon, Tooltip, TooltipTrigger, InfoIcon, TooltipContent, MinusIcon, PlusIcon"
GeneralFormConfig,functional,"formValues, handleInputChange, version, filterKeyword, V, toggleV, F, toggleF, S, setS, setVersion","showPopup, popupPosition, selectedItemId, editingLabel, tempLabel","useState, useState, useState, useState, useState",,"FontAwesomeIcon, SensitivityAnalysisSelector, Popup"
Index,unknown,,,,,
L_1_HomePageContent,functional,,"activeTab, activeSubTab, selectedProperties, selectedVersions, subTab, selectedHtml, selectedAlbum, showPopup, popupPosition, baseCosts, scalingGroups, collapsedTabs, isToggleSectionOpen, calculatedPrices, loadingStates, contentLoaded, contentLoadingState","useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState, useState",,"InputForm, ActionButtons, VersionControl, CsvContentTab, HtmlContentTab, PlotContentTab, ExtendedScaling, Tabs, TabList, Tab, TabPanel, EditableHierarchicalList, TodoList, ModelZone, SensitivityAnalysis, TestingZone, HeaderSection, TabNavigation, VersionStateProvider"
L_1_HomePage1,unknown,,,,,
L_1_HomePage2,unknown,,,,,
L_1_HomePage3,unknown,,,,,
L_1_HomePage4,unknown,,,,,
L_1_HomePage5,unknown,,,,,
L_1_HomePage6,unknown,,,,,
Naturalmotion,unknown,,,,,
SpatialTransformComponent,functional,,interactionState,useState,,
Popup,functional,"show, position, onClose, formValues, handleInputChange, id, version, itemId, onVersionChange","sliderValues, isSubmitting, submitError, submitSuccess, isClosing","useState, useState, useState, useState, useState",,
PropertySelector,functional,"selectedProperties, setSelectedProperties",,,,
ScalingSummary,functional,"items, tabConfigs, sequentialOperations, onSequentialOperationChange, onTabConfigsChange, onItemFreeze, onExpressionChange","itemExpressions, frozenItems, lastUpdated, intermediateResults","useState, useState, useState, useState, useCallback",,"Card, CardHeader, CardContent, React, AnimatePresence"
SensitivitySelector,unknown,,,,,
Dialog,functional,"show, onClose, children, triggerRef, isClosing","position, showDialog, isClosing","useState, useState, useState, useRef, useRef",,
TodoList,functional,,"items, draggedId, editingId, editText, newItemType","useState, useState, useState, useState, useState",,"Plus, GripVertical, Check, X, Trash2"
TodoList2,functional,,"items, draggedId, editingId, editText, newItemType","useState, useState, useState, useState, useState",,"Plus, GripVertical, Check, X, Trash2"
useFormValues,hook,,formValues,useState,,
VersionSelector,functional,,,useMemo,,
ErrorBoundary,class,,"hasError, error, errorInfo",,,
SensitivityAnalysis,functional,,"visualizationData, isLoading, error","useState, useState, useState",,SensitivityVisualization
SensitivityVisualization,functional,visualizationData,,,,
TestingZone,functional,,,,,CFAConsolidationUI
VersionStateProvider,functional,children,,"useContext, useContext, useCallback, useCallback, useCallback, useCallback, useContext, useContext","VersionStateContext, VersionDispatchContext","VersionStateContext, VersionDispatchContext"
useAnalysis,hook,,"analysisRunning, selectedCalculationOption, targetRow, calculatedPrices","useState, useState, useState, useState",,
useContentLoading,hook,,"loadingStates, contentLoaded, iframesLoaded, imagesLoaded, contentLoadingState","useState, useState, useState, useState, useState",,
useFeatureToggles,hook,,"remarks, customizedFeatures, F, V","useState, useState, useState, useState",,
useSensitivity,hook,,S,useState,,
useTheme,hook,,season,useState,,
useVersion,hook,,"version, batchRunning, csvFiles, albumHtmls, albumImages, error, isLoading, retryCount, lastSuccessfulFetch","useState, useState, useState, useState, useState, useState, useState, useState, useState, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback",,
ApiService,unknown,,,,,
BatchService,unknown,,,,,
ConfigService,unknown,,,,,
ContentService,unknown,,,,,
Fall,unknown,,,,,
Winter,unknown,,,,,
TooltipProvider,functional,children,isVisible,useState,,
TooltipContent,unknown,,,,,TooltipPrimitive
MathProcessor,functional,,,,,
PathTransformers,functional,,,,,
ActionButtons,functional,"handleRunPNG, handleRunSub, selectedProperties, remarks, customizedFeatures, version, selectedVersions, analyzingRunning",,,,
CFAConsolidationUI,functional,,"selectionState, processingState, resultsState","useState, useState, useState, useEffect, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback",,"SelectionPanel, ProcessingPanel, IndividualResultsPanel, ResultsPanel"
IndividualResultsPanel,functional,"data, selectedCell, inspectorVisible, inspectorPosition, cellDetails, onCellClick, onCloseInspector, selectedVersions = [] // Add this to receive the selected versions","viewingVersion, individualTableData, loadingTable","useState, useState, useState, useCallback, useCallback, useMemo, useMemo, useMemo, useCallback, useCallback, useCallback, useCallback, useCallback",,CustomizableTable
ProcessingPanel,functional,"status, progress, messages, error, onStart, onCancel, onReset, disabled, showReset",,"useCallback, useCallback, useCallback, useCallback",,
ResultsPanel,functional,"data, selectedCell, inspectorVisible, inspectorPosition, cellDetails, onCellClick, onCloseInspector",,"useCallback, useMemo, useMemo, useCallback, useCallback, useCallback",,
SelectionPanel,functional,"available, selected, filtered, searchQuery, error, loading, onSelect, onSelectAll, onSelectNone, onSearch, onRefresh",,,,
InputForm,functional,"activeSubTab, setActiveSubTab, formValues, handleInputChange, version, S, setS, F, toggleF, V, toggleV, setVersion, handleReset, handleRun, handleSubmitCompleteSet, selectedCalculationOption, handleOptionChange, target_row, handleTargetRowChange, remarks, toggleRemarks, customizedFeatures, toggleCustomizedFeatures, selectedProperties, setSelectedProperties",,,,"PropertySelector, GeneralFormConfig"
HeaderSection,functional,"season, handleThemeChange",,,,ThemeSelector
AnalysisChart,functional,,,"useRef, useRef",,
AnalysisVisualizationIntegration,functional,"onAnalysisUpdate, onVisualizationUpdate, children",,"useCallback, useCallback, useRef, useRef, useCallback, useCallback",,
DecisionEngine,functional,"model, baseModel, scenarios, optimizationResults, riskMetrics, sensitivityData, onApply, onClose","recommendations, selectedRecommendation, isAnalyzing","useState, useState, useState, useCallback, useCallback, useCallback, useCallback",,AnalysisChart
FilterPopup,functional,"modelType, settings, onUpdate, onClose","localSettings, activePreset","useState, useState, useCallback",,
ImpactAnalysis,functional,"model, baseModel, onClose","activeTab, impactData","useState, useState",,
InheritanceControl,functional,,"hoveredConnection, activeConnection","useState, useState, useEffect, useRef, useRef",,
ModelCard,functional,"type, settings, onClick, isActive, onViewImpact, onSensitivityAnalysis, onRiskAssessment, onOptimization, onDecisionSupport",,,,
ModelZone,functional,,"activeModel, activeDialog, scenarios, optimizationResults, riskMetrics, sensitivityData","useState, useState, useState, useState, useState, useState, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback, useCallback",,"FilterPopup, ImpactAnalysis, SensitivityEngine, RiskAssessment, OptimizationEngine, DecisionEngine, AnalysisVisualizationIntegration, ModelCard, OverlayController, InheritanceControl"
NavigationManager,functional,"activeModel, activeOverlay, onNavigate, onClose","navigationHistory, currentLevel, isTransitioning","useState, useState, useState, useCallback, useCallback, useCallback",,React
OptimizationEngine,functional,"model, baseModel, scenarios, constraints, onUpdate, onClose","activeOptimization, objectiveFunction, solutions, isOptimizing, optimizationParams","useState, useState, useState, useState, useState, useCallback",,AnalysisChart
OverlayController,functional,"activeModel, activeOverlay, children, onNavigate, onClose","isTransitioning, currentContent, nextContent","useState, useState, useState, useCallback, useCallback",,NavigationManager
RiskAssessment,functional,"model, baseModel, scenarios, onUpdate, onClose","activeRiskType, riskMetrics, isCalculating, optimizationTarget","useState, useState, useState, useState, useCallback",,AnalysisChart
SensitivityEngine,functional,"model, baseModel, onUpdate, onClose","activeSimulation, parameters, results, isCalculating","useState, useState, useState, useState, useCallback, useCallback",,AnalysisChart
TabNavigation,functional,"activeTab, setActiveTab",,,,
CsvContentTab,functional,"csvFiles, subTab, setSubTab, version",,,,"Tabs, TabList, Tab, TabPanel, CustomizableTable"
HtmlContentTab,functional,"albumHtmls, selectedHtml, setSelectedHtml, iframesLoaded, setIframesLoaded",,,,"Tabs, TabList, Tab, TabPanel"
PlotContentTab,functional,"albumImages, selectedAlbum, setSelectedAlbum, imagesLoaded, setImagesLoaded",,,,"CustomizableImage, Tabs, TabList, Tab, TabPanel"
TabContent,functional,"activeTab, csvFiles, version, albumHtmls, albumImages, loadingStates, contentLoaded, onIframeLoad, onImageLoad, onError, formValues, handleInputChange, handleReset, F, toggleF, V, toggleV, setVersion, handleRun, handleSubmitCompleteSet, selectedCalculationOption, handleOptionChange, target_row, handleTargetRowChange, remarks, toggleRemarks, customizedFeatures, toggleCustomizedFeatures, activeSubTab, setActiveSubTab, selectedProperties, setSelectedProperties, S, setS",,,,"InputForm, ModelZone, VersionSelector, SpatialTransformComponent, CsvContentTab, HtmlContentTab, PlotContentTab, ExtendedScaling, Tabs, TabList, Tab, TabPanel, EditableHierarchicalList, TodoList, SensitivityAnalysis, TestingZone"
ThemeSelector,functional,"season, handleThemeChange",,,,
VersionControl,functional,"version, onVersionChange, onRefresh, disabled = false","localVersion, showHistory","useState, useState, useEffect",,
